Index,Layer,X,Y,Z
1,1,-6.00,-0.00,116.00
2,2,-17.00,-0.00,116.00
3,2,-11.50,9.53,116.00
4,2,-0.50,9.53,116.00
5,2,5.00,0.00,116.00
6,2,-0.50,-9.53,116.00
7,2,-11.50,-9.53,116.00
8,3,16.00,-0.00,106.00
9,3,13.05,11.00,106.00
10,3,5.00,19.05,106.00
11,3,-6.00,22.00,106.00
12,3,-17.00,19.05,106.00
13,3,-25.05,11.00,106.00
14,3,-28.00,0.00,106.00
15,3,-25.05,-11.00,106.00
16,3,-17.00,-19.05,106.00
17,3,-6.00,-22.00,106.00
18,3,5.00,-19.05,106.00
19,3,13.05,-11.00,106.00
20,4,36.00,-0.00,94.00
21,4,34.57,10.87,94.00
22,4,30.37,21.00,94.00
23,4,23.70,29.70,94.00
24,4,15.00,36.37,94.00
25,4,4.87,40.57,94.00
26,4,-6.00,42.00,94.00
27,4,-16.87,40.57,94.00
28,4,-27.00,36.37,94.00
29,4,-35.70,29.70,94.00
30,4,-42.37,21.00,94.00
31,4,-46.57,10.87,94.00
32,4,-48.00,0.00,94.00
33,4,-46.57,-10.87,94.00
34,4,-42.37,-21.00,94.00
35,4,-35.70,-29.70,94.00
36,4,-27.00,-36.37,94.00
37,4,-16.87,-40.57,94.00
38,4,-6.00,-42.00,94.00
39,4,4.87,-40.57,94.00
40,4,15.00,-36.37,94.00
41,4,23.70,-29.70,94.00
42,4,30.37,-21.00,94.00
43,4,34.57,-10.87,94.00
